Address,Price,Beds,Baths,Area,Latitude,Longitude,geometry
"42 Grattan Street, Cork City, Co. Cork",265000,4,2,104,51.89882001927998,-8.480119969919372,POINT (-8.480119969919372 51.89882001927998)
"1 Old Friary Place, Shandon Street, Cork City, Co. Cork",275000,2,2,70,51.902480019211055,-8.478079982324545,POINT (-8.478079982324545 51.902480019211055)
"179 Kilnap Place, Farranree, Farranree, Co. Cork",225000,3,1,75,51.91443001474926,-8.480100020989823,POINT (-8.480100020989823 51.91443001474926)
"23 Tower Hill, Kilcoolishal, Glanmire, Co. Cork",580000,5,3,282,51.92694000000006,-8.399309999999957,POINT (-8.399309999999957 51.92694000000006)
"14 Crestfield Mews, Riverstown, Glanmire, Co. Cork",290000,3,1,76,51.93509999752749,-8.392839966524775,POINT (-8.392839966524775 51.93509999752749)
"36 Copper Valley Vue, Glanmire, Glanmire, Co. Cork",380000,4,3,136,51.92958998583703,-8.37762999738456,POINT (-8.37762999738456 51.929589985837026)
"Falcal Heights Clogheen, Cork City, Co. Cork",750000,6,4,625,51.87798000959586,-8.530130008482445,POINT (-8.530130008482445 51.87798000959586)
"33 Prosperity Square, Barrack Street, Cork City, Co. Cork",150000,2,1,56,51.89349000896024,-8.476739967463885,POINT (-8.476739967463885 51.89349000896024)
"4 Avondale, Model Farm Road, Model Farm Road, Co. Cork",745000,5,2,165,51.88730001537471,-8.512460034579249,POINT (-8.512460034579249 51.887300015374706)
"97 Rathmore Place, Richmond Hill, Cork City, Co. Cork",265000,3,1,99,51.90550999338996,-8.470680019106112,POINT (-8.470680019106112 51.905509993389956)
"Pinegrove, Carhoo, Rathpeacon, Co. Cork",280000,3,1,135,51.93578999579688,-8.48750995867303,POINT (-8.48750995867303 51.93578999579688)
"5 The Grove, Gleann Na Ri, Blarney, Co. Cork",325000,3,2,95,51.92541549810584,-8.599855303981068,POINT (-8.599855303981068 51.925415498105835)
"2 The Well, Eden, Blackrock, Co. Cork",480000,4,3,165,51.89354998147746,-8.412420008523583,POINT (-8.412420008523583 51.89354998147746)
"18 St. Enda's Road, Gurranabraher, Co. Cork",225000,3,1,70,51.90460001207171,-8.487970041338343,POINT (-8.487970041338343 51.90460001207171)
"32 Evergreen Buildings, Cork City, Co. Cork",230000,2,1,60,51.89418998169441,-8.476169998047965,POINT (-8.476169998047965 51.89418998169441)
"1 Woodcote, Saint Clare's Avenue, Cork City, Co. Cork",350000,3,2,129,51.88704000873818,-8.496399972818978,POINT (-8.496399972818978 51.88704000873818)
"20 Westbury Grove, Wilton, Co. Cork",295000,4,2,120,51.873660018608746,-8.49993001134132,POINT (-8.49993001134132 51.873660018608746)
"1 Mount Vernon Terrace, Saint Lukes, St. Lukes, Co. Cork",350000,3,2,90,51.9059899830753,-8.460229965141139,POINT (-8.460229965141139 51.9059899830753)
"24 Sommerville, Reeves Wood, Douglas, Co. Cork",310000,3,2,100,51.87957001471872,-8.440650006961391,POINT (-8.440650006961391 51.87957001471872)
"62 Uam Var Avenue, Bishopstown, Co. Cork",495000,3,2,224,51.87947001861383,-8.531489972272652,POINT (-8.531489972272652 51.87947001861383)
"Aine, Model Village, Blarney, Co. Cork",495000,4,2,144,51.92393999636357,-8.613089978980412,POINT (-8.613089978980412 51.92393999636357)
"62 Greenhills Court, South Douglas Road, Douglas, Co. Cork",275000,3,1,80,51.879210011977335,-8.453329982447116,POINT (-8.453329982447116 51.879210011977335)
"58 Churchfield Avenue, Churchfield, Churchfield, Co. Cork",245000,4,1,76,51.909939996856224,-8.49255997151721,POINT (-8.49255997151721 51.909939996856224)
"10 O'Connell Street, Blackpool, Co. Cork",159000,2,1,46,51.90777000594315,-8.475259974820204,POINT (-8.475259974820204 51.90777000594315)
"10 The Close, Ard Patrick, Blackpool, Co. Cork",295000,4,4,114,51.90977998632462,-8.470030002514847,POINT (-8.470030002514847 51.90977998632462)
"25 Inniscarra Road, Fairhill, Co. Cork",245000,2,2,71,51.90829001921614,-8.485469971078203,POINT (-8.485469971078203 51.90829001921614)
"37 Great William O'Brien Street, Blackpool, Co. Cork",375000,7,3,324,51.908570016691726,-8.475229967606822,POINT (-8.475229967606822 51.908570016691726)
"Lizlee, Model Farm Road, Co. Cork",445000,5,3,176,51.89224001573968,-8.548020007343979,POINT (-8.548020007343979 51.892240015739674)
"Trenton, 27 Loreto Park, Douglas, Co. Cork",595000,4,2,143,51.88282998832074,-8.454110002356629,POINT (-8.454110002356629 51.88282998832074)
"4 Rock Cottages, Commons Road, Cork City, Co. Cork",245000,4,2,96,51.90148999071749,-8.481849994734802,POINT (-8.481849994734802 51.901489990717494)
"1 Coolflugh, Tower, Blarney, Co. Cork",525000,4,4,193,51.92283999730034,-8.604170041440142,POINT (-8.604170041440142 51.92283999730034)
"98 Evergreen Road, Cork City, Co. Cork",225000,1,1,52,51.89177000051913,-8.471549976836684,POINT (-8.471549976836684 51.89177000051913)
"Avondhu, 36 Endsleigh Estate, Douglas, Co. Cork",625000,4,2,155,51.883499995751066,-8.442569965702745,POINT (-8.442569965702745 51.883499995751066)
"Villa Martin, 12 Cedar Avenue, Bishopstown, Co. Cork",380000,4,2,109,51.8866800059968,-8.514730021597217,POINT (-8.514730021597217 51.886680005996794)
"4 Wyse's Cottages, Blarney Street, Cork City Centre",265000,2,1,69,51.90127000766864,-8.48994004004166,POINT (-8.48994004004166 51.90127000766864)
"405 Northgate House, Kyrl's Quay, Cork City, Co. Cork",249000,2,1,58,51.90091997939206,-8.4792500121888,POINT (-8.4792500121888 51.90091997939206)
"35 Heatherfield Crescent, Ballymaw, Waterfall, Co. Cork",725000,5,4,227,51.85744222791267,-8.552899740007419,POINT (-8.552899740007419 51.85744222791267)
"2 Westbourne Terrace, The Lough, The Lough, Co. Cork",370000,3,1,123,51.88840998890271,-8.484579980599023,POINT (-8.484579980599023 51.88840998890271)
"11 Monastery Avenue, Blarney Street, Cork City, Co. Cork",395000,4,3,124,51.90212999093444,-8.50134001509349,POINT (-8.50134001509349 51.90212999093444)
"Burkes Lane, Ballinvriskig, Cork City, Co. Cork",440000,4,2,109,51.94032000000004,-8.452849999999955,POINT (-8.452849999999955 51.94032000000004)
"11 Rowan Hill, Mount Oval Village, Rochestown, Co. Cork",395000,3,3,102,51.87779000000006,-8.371579999999938,POINT (-8.371579999999938 51.87779000000006)
"Kilnaglory Lodge, Greenfield, Ballincollig, Co. Cork",675000,5,4,268,51.87731000216553,-8.61274003452283,POINT (-8.61274003452283 51.87731000216553)
"60 Foxwood, Rochestown, Co. Cork",440000,3,4,166,51.86862999660366,-8.401729980670723,POINT (-8.401729980670723 51.86862999660366)
"106 Old Youghal Road, Dillons Cross, St. Lukes, Co. Cork",195000,2,1,45,51.90913998610765,-8.454460030633243,POINT (-8.454460030633243 51.90913998610765)
"57 Delford Drive, Rochestown Road, Rochestown, Co. Cork",295000,3,1,90,51.87774944861152,-8.372337065633237,POINT (-8.372337065633237 51.87774944861152)
"35 Argideen Lawn, Togher, Togher, Co. Cork",250000,3,2,90,51.877709986585046,-8.496190006144445,POINT (-8.496190006144445 51.877709986585046)
"14 Heron Gate, Blackpool, Blackpool, Co. Cork",290000,2,2,79,53.82530491307814,-3.0100770317828958,POINT (-3.0100770317828953 53.82530491307814)
"4 Hazelwood Gardens Glanmire Cork, Glanmire, Co. Cork",450000,4,2,150,51.93339997992544,-8.394369999130419,POINT (-8.394369999130419 51.93339997992544)
"30 Altus, Sunday's Well Road, Sunday's Well, Co. Cork",425000,2,3,90,51.90099998465786,-8.485539959969714,POINT (-8.485539959969714 51.90099998465786)
"16 Centenary Row, Old Youghal Road, Cork City Centre",160000,3,1,72,51.91231000093384,-8.442869995926912,POINT (-8.442869995926912 51.91231000093384)
"19 Dunvale Crescent, Frankfield, Douglas, Co. Cork",360000,3,3,96,51.86593001795276,-8.46773998274827,POINT (-8.46773998274827 51.86593001795276)
"6 Cathedral Road, Gurranabraher, Co. Cork",175000,3,1,68,51.90393997910616,-8.48851000354091,POINT (-8.48851000354091 51.903939979106156)
"20 Maymount, Friars Walk, Cork City, Co. Cork",275000,3,2,69,51.891279994459495,-8.473909985494771,POINT (-8.473909985494771 51.891279994459495)
"9 Fitzgerald Place, Old Blackrock Road, Blackrock, Co. Cork",225000,2,1,69,51.896338788032914,-8.419198003166102,POINT (-8.419198003166102 51.896338788032914)
"Apartment 6, Castlejane Court, Glanmire, Co. Cork",195000,2,1,65,51.92356902062836,-8.408215356371784,POINT (-8.408215356371784 51.923569020628356)
"311 Blarney Street, Cork City, Co. Cork",130000,1,1,54,51.90125001682958,-8.487950008589763,POINT (-8.487950008589763 51.90125001682958)
"6 Walsh's Square, Devonshire Street West, Cork City Centre",160000,2,1,43,51.90005805797592,-8.481657171305326,POINT (-8.481657171305326 51.90005805797592)
"Highwinds, 1 Central Avenue, Bishopstown, Co. Cork",485000,3,2,152,51.88211999921228,-8.523630010207938,POINT (-8.523630010207938 51.88211999921228)
"218 Pearse Road, Ballyphehane, Ballyphehane, Co. Cork",225000,3,1,82,51.88448000787034,-8.484460035564581,POINT (-8.484460035564581 51.88448000787034)
"5 Manor Drive, Thornbury Heights, Rochestown, Co. Cork",330000,3,2,93,51.87634998088532,-8.393110031445104,POINT (-8.393110031445104 51.87634998088532)
"22 The Glen, Greenvalley, Donnybrook, Co. Cork",305000,3,2,90,51.859350014412485,-8.442009970751599,POINT (-8.442009970751599 51.859350014412485)
"22A The Glen, Greenvalley, Donnybrook, Co. Cork",375000,4,2,102,51.85927998361143,-8.441939981860088,POINT (-8.441939981860088 51.85927998361143)
"3 Ardfoyle Place, Ballintemple, Ballintemple, Co. Cork",445000,3,2,93,51.6217400927134,-8.849977343902957,POINT (-8.849977343902957 51.6217400927134)
"22 Kiltegan Crescent, Rochestown Road, Rochestown, Co. Cork",440000,4,3,120,51.87774944861152,-8.372337065633237,POINT (-8.372337065633237 51.87774944861152)
"6 Goldsmith's Avenue, Richmond Hill, Cork City, Cork City Centre",235000,2,2,50,51.90596001777144,-8.471600016798646,POINT (-8.471600016798646 51.905960017771434)
"60 Kinvara Avenue, Ballyvolane, Ballyvolane, Co. Cork",305000,3,3,108,51.92403999246844,-8.461739964998202,POINT (-8.461739964998202 51.92403999246844)
"13 Oak Avenue, Classes Lake, Ovens, Co. Cork",320000,3,2,87,51.88331999438037,-8.63051000453089,POINT (-8.63051000453089 51.88331999438037)
"30 Bantry Park Road, Fairhill, Fairhill, Co. Cork",240000,2,1,71,51.91072001676574,-8.487520016956864,POINT (-8.487520016956864 51.91072001676574)
"104 Ardkeale, Mount Oval Village, Rochestown, Co. Cork",285000,2,2,71,51.87779000000006,-8.371579999999938,POINT (-8.371579999999938 51.87779000000006)
"10 Sheares Street, Cork City Centre",235000,1,1,161,51.898159986314425,-8.481699958667946,POINT (-8.481699958667946 51.898159986314425)
"71 Fernwood, Glanmire, Glanmire, Co. Cork",350000,3,3,101,51.92226998597488,-8.389380000713004,POINT (-8.389380000713004 51.92226998597488)
"Apartment 26, The Lodge, The Oaks, Ovens, Co. Cork",239000,2,1,56,51.87398829618747,-8.515105201763292,POINT (-8.515105201763292 51.87398829618747)
"2 Kingslea, Grange, Douglas, Co. Cork",375000,3,2,140,51.87007000756918,-8.439709976520248,POINT (-8.439709976520248 51.87007000756918)
"117 Clonlea, Mount Oval Village, Rochestown, Co. Cork",295000,2,2,82,51.87779000000006,-8.371579999999938,POINT (-8.371579999999938 51.87779000000006)
"Ard Na Culla, 1 The Mews, Westgrove, Donnybrook, Co. Cork",345000,3,3,115,51.89930000896533,-8.511469964176172,POINT (-8.511469964176172 51.89930000896533)
"Ard Na Culla, 1 The Mews, Westgrove, Douglas, Co. Cork",345000,3,3,115,51.86373999429111,-8.440480021964987,POINT (-8.440480021964987 51.86373999429111)
"Apartment 1, Glen Mervyn, Glanmire, Co. Cork",295000,2,2,94,51.92694000000006,-8.399309999999957,POINT (-8.399309999999957 51.92694000000006)
"22 The Stables, Ballincollig, Co. Cork",310000,3,3,111,51.88430718845678,-8.622009960595504,POINT (-8.622009960595504 51.88430718845678)
"1 Little William Street, Off MacCurtain Street, Cork City, Co. Cork",305000,6,4,140,51.90169999930154,-8.466180026748304,POINT (-8.466180026748304 51.90169999930154)
"Marilla, 17 Rosebank, Douglas, Co. Cork",440000,3,1,102,51.883480004912,-8.45161001591552,POINT (-8.45161001591552 51.883480004912)
"1 Inishowen, The Headlands, Wilton, Co. Cork",185000,2,1,52,51.87545001594137,-8.503530038755173,POINT (-8.503530038755173 51.87545001594137)
"Lauderdale, Loreto Park, Douglas, Co. Cork",895000,5,4,242,51.88458000397523,-8.455629976678466,POINT (-8.455629976678466 51.88458000397523)
"Apartment 99, The Kavanagh Block, Parchment Square, Cork City, Co. Cork",180000,3,3,73,51.91327000125929,-8.173260003409013,POINT (-8.173260003409013 51.91327000125929)
"Ferville, Rossa Avenue, Bishopstown, Co. Cork",385000,3,2,113,51.88108998904056,-8.530639963471629,POINT (-8.530639963471629 51.88108998904056)
"67 Avondale Park, Ballintemple, Ballinlough, Co. Cork",450000,4,2,113,51.8931800042713,-8.434519985893047,POINT (-8.434519985893047 51.8931800042713)
"27 Hibernian Buildings, Albert Road, Cork City Centre",235000,2,1,45,51.896909993093885,-8.459829980721622,POINT (-8.459829980721622 51.896909993093885)
"1 Monastery Avenue, Blarney Street, Cork City, Co. Cork",450000,4,2,126,51.90197999677713,-8.500810027355698,POINT (-8.500810027355698 51.90197999677713)
"The O Riada Block, 129 Parchment Square, Model Farm Road, Co. Cork",195000,3,3,82,51.8883400000112,-8.534269998098836,POINT (-8.534269998098836 51.8883400000112)
"2 Ardkeale, Mount Oval, Rochestown, Co. Cork",395000,3,2,98,51.86834999912807,-8.407650035064506,POINT (-8.407650035064506 51.86834999912807)
"28 Chapel Field, Cathedral Road, Gurranabraher, Co. Cork",295000,3,3,116,51.90442998516579,-8.49337997310488,POINT (-8.49337997310488 51.90442998516579)
"Rosapenna, Browningstown Park West, Douglas, Co. Cork",425000,3,1,102,51.88592001883589,-8.444829978255939,POINT (-8.444829978255939 51.88592001883589)
